track,artist,final_emotion,lyrics
Depression,Black Flag,anger,"Right here, all by myself
I ain't got no one else
The situation is bleeding me
There's no relief for a person like me
Depression's got a hold of me
Depression, gotta break free
Depression's got a hold of me
Depression's gonna kill me
I ain't got no friends to call my own
I just sit here all alone
There's no girls that want to touch me
I don't need any of your fucking sympathy
Depression's got a hold of me
Depression, I gotta break free
Depression's got a hold of me
Depression's g-gonna kill me
Everybody just get away
I'm gonna boil over inside today
They say things are gonna get better
All I know is they fuckin' better
Depression's got a hold of me
Depression, gotta break free
Depression's got a hold of me
Depression's gonna kill me
Aah, aah, depression's got a hold of me
Depression, gotta break free
Depression's got a hold of me
Depression's gonna kill me
Aah, aah!"
Comprachicos,Pendulum,anger,"Manipulation doesn't shape me
I am just filling the bottle out
And even though this curse restrains me
I can't see anything to yell about
Well I could fight this
But I may die
And all I want is to be the apple in your eye
Well I could stay here
Strap on my face
Listen to the ones that put me in my place

I am a serial fantasy-destroyer
And you wanna know what I'm gonna do about it
You thought that my hands were behind my back
Though that I didn't have the nerve to
Throw it away!
'Cause I got the patience
To see that you drown
To watch you go down
Throw it away!
'Cause I got the patience
To see that you drown
To watch you go down

I am a reality invention-fighter
At war against your constant manipulation
All this time, you thought that I believed you
The more you say, the easier to
Throw it away!
'Cause I got the patience
To see that you drown
To watch you go down
Throw it away!
'Cause I got the patience
To see that you drown
To watch you go down
"
When Girls Telephone Boys,Deftones,anger,"(Push no more corpse inside)
(Those things were worth it)
(It's about when we talk to him, it's highly sensitive)

Always the same old taste, just new injury
Well, I'll wear the claws if you'd like that
Yeah, if you'd like that, we can ride on a black horse
A great new wave Hesparian death horse
I can call you when I get back
Yeah, when I get back I will call

But don't speak, don't say nothing
In case we ever do meet again
Something's wrong with you
Well, I hope we never do meet again

You always sharpen your teeth 'cause you're like that
And you're like that every time you pull heart back
And her compact's carving deeper in your lay
I would call, but I forget where the phone is at
Guess I'll talk to you when I get back
Yeah, when I get back I will talk

But don't speak, don't say nothing
In case we ever should meet again
There are some things wrong with you
Well, I hope we never do meet again
I hope we never do meet again
I hope we never do meet again

Something's wrong with you
And I hope we never do meet again
Something's wrong with you
And I hope we never do meet again
Something's wrong with you
And I hope we never do meet again

Don't speak, don't say nothing
But I hope we never do meet again
Something's wrong with you
And I hope we never do meet again

And I hope we never do meet again
And I hope we never do meet again
And I hope we never do meet again
And I hope we never do meet again
And I hope we never do meet again
And I hope we never do meet again
And I hope we never do meet again"
Two Words,Kanye West,anger,"We in the streets, playa, get ya mail
It's only two places you end up, either dead or in jail
Still nowhere to go
Still nowhere to go
Now throw your hands up hustlers, busters, boosters, hoes
Everybody, fuck that
Still nowhere to go
Still nowhere to go

Two words, United States, no love, no breaks
Low brow, high stakes, crack smoke, black folks
Big Macs, fat folks, ecstasy capsules
Presidential scandals, everybody move
Two words, Mos Def, K. West, hot shit
Calm down, get back, ghetto people, got this
Game 'pon lock shit, gun 'pon cock shit
We won't stop shit, everybody move

Two words, BK, NY, Bed Stuy
Too harsh, too hungry, too many, that's why
These streets know game, can't ball, don't play
Heavy traffic, one lane, everybody move
Two words, Mos Def, Black Jack, hot shit
Calm down, get back, ghetto people, got this
Game 'pon lock, gun 'pon cock
We won't stop, everybody move

Now throw your hands up hustlers, busters, boosters, hoes
Everybody, fuck that
Still nowhere to go
Still nowhere to go
And keep your hands up hustlers, busters, boosters, hoes ('til they reach the sky)
Everybody, fuck that
Still nowhere to go
Still nowhere to go

Two words, Chi-town, South Side, worldwide
'Cause I rep that 'til I fuckin' die
One neck two chains, one waist two gats
One wall, 20 plaques, dues paid, gimme that
I am limelight, Blueprint, five mics
Go-Getters rhyme like should've been signed twice
Most imitated, Grammy nominated
Hotel accommodated, cheerleader prom-dated

Barbershop player-hated, mom-and-pop bootlegged it
Felt like it rained 'til the roof caved in
Two words, Chi-town raised me crazy
So I live by two words, ""Fuck you, pay me""
Screamin', ""Jesus save me""
You know how the game be, I can't let 'em change me
'Cause on judgment day, you gon' blame me
Look, God, it's the same me

And I basically know now, we get racially profiled
Cuffed up and hosed down, pimped up and ho'd down
Plus I got a whole city to hold down
From the bottom, so the top's the only place to go now

Now throw ya hands up hustlers, busters, boosters, hoes
Everybody, fuck that
Still nowhere to go
Still nowhere to go

Two words, freeway, two letters, A-R
Turn y'all rap niggas to two words, fast runners
Like Jackie Joyner, you better sleep with your burner
The heat skeet, blow a reef through your car, my God
Two words, no guns, break arms
Break necks, break backs, Steven Seagal
Free, young boss, freshman of the Roc
With the beef in the pot, Jay sent for his dogs to brawl

Forget your squad, better fend for yourself
Have you screamin' out four words, ""Send for the law"", uh
Two words, Freeway, slightly retarded
Fuck around, throw a clip in your artist, leave with his broad

Red, white, blue, black (throw your hands up)
Calm down, move back
Motherfuckers askin', ""Who is that?""
You know it's the almighty Black Jack
Mos Def, K. West
Ghetto people, get this shit off your chest
North to the south, to the east, to the west
Black Jack Johnson, it's no contest
(High) and show it to 'em like"
What I See,Black Flag,anger,"This feeling haunts me
Behind these eyes, the shell seems so empty
Though I wonder if anything lives inside?

I wanna live
I wish I was dead

My heart aches to bleed
I'm cheated from what I see
Freedom holds a double-edge for me
I look in your eyes and see

I wanna live
I wish I was dead

I don't wanna think
I'm stuck here and I know it
I don't wanna see
Make me close my eyes

I wanna live
I wish I was dead

Life's cold and it reaches inside
I need to feel but turn my mind off
The desperation begins
From the start, I see the end
Not right, I'm not right, you're not right
I've gotta close my eyes

I look in your eyes
And I see it's always this way
Live the lie, take a dive
Just to make it die

I wanna live
I wish I was dead

I've just got to close my eyes
I've got to close my eyes
I've got to close my eyes"
Requiem,Lamb of God,anger,"Down, chemical sacrament
Blasphemous prayer
Deliver me from this
So serene apocalypse

Just make me fucking numb
Deaf, blind and fucking dumb
Return to sacred sleep

This could be my requiem
And I'll feel no pain
This could be my requiem
But don't bury me too deep

Drain infected brine
Sickened cesspool shell of mine
Strap up the hands of time
And push the soul into the vein

Just make me fucking numb
Deaf, blind and fucking dumb
Return to sacred sleep

This could be my requiem
And I'll feel no pain
This could be my requiem
But don't bury me too deep

Sink, suffer, self destruct
Rise, stronger, reconstruct
Sink, suffer, self destruct
Rise, stronger, reconstruct
Dispose
Discard
Deny
And I will feel no pain"
Room 13,Black Flag,anger,"Keep me alive
Only you can do it
If not you'll die too
And I'll see to it

It's hard to survive
Don't know if I can do it

Keep me alive
I can't accept my fate
I need help
Before it's too late

It's hard to survive, don't know if I can do it
I need to belong, I need to hang on
I need, need

Keep me alive feelings I must obey
Can't turn my eyes from the past
This crisis is the last

Keep me alive
I rely on your judgement
I've got none left of my own
Don't know what I'm doing

It's hard to survive, don't know if I can do it
I need to belong, I need to hang on
I need, need

Keep me alive
Only you can do it
Keep me alive
Only you can do it

It's hard to survive, don't know if I can do it

Keep me alive
Keep me alive
Keep me alive
Keep me alive

It's hard to survive, don't know if I can do it
I need to belong, I need to hang on
I need, need"
Shake Ya Ass,Mystikal,anger,"Shake ya' ass
But watch ya' self

Shake ya' ass
Show me what you workin' with
Shake ya' ass

But watch ya' self
Shake ya ass
I came here with my dick in my hand
Don't make me leave here with my foot in yo ass
Be cool, and don't worry about how I'm rippin this shit
When im flippin when kickin, nigga this just what I do

I'm effervescent and I'm off that crescent
N'er since a full grown German Shepherd
Motherfucker keep steppin
They don't fuck with me and they won't
Yall bitches cant catch me and you won't

Tell ya self, fix ya' hair, throw that pussy
I'm proud of my poo nanny, and a dollar for my booty
You think I'm trickin', bitch I ain't trippin'
I'm buyin if you got nice curves for your iceberg

Drinkin here acting like it's gonna do somethin to me
Hope this indecent proposal make you do somethin' with me
Fuck a dollar girl pick up fifty
And fuck a coward you need a real nigga

Off top nigga 'bout to turn shit

Bend over hoe show me what you workin with
Shake ya' ass
But watch ya' self
Shake ya' ass
Show me what you workin with

Attention all y'all players and pimps
Right now in the place to be
I thought I told yall niggas before
Yall niggas can't fuck with me

Now this ain't for no small booties

No circus that won't pass
But if you feel you got the biggest one
Then momma come shake ya ass

Shake ya ass
But watch ya self
Shake ya ass
Show me what you workin with
Shake ya ass
But watch ya self
Shake ya ass
Show me what you workin with

I come with from a fire like higher
Chocalate and bowlegged runnin' up behind her
Go head get down pop lock at the cockhouse
For real though girl don't lie
You know that you wanna go back to my house
Man right here looking under that dress right there

Spicy cajun we gon' pass a good time right there

You better suck the head on them there crawfish

And you gotta bend all the way over to dance off this
You handle yo' business but I know you do it way better
You dead wrong
So if you totin' by and those niggas make noise
When you pass by find yo' fine ass on the floor girl
This yo' fuckin' song

Do yo thang don't be s'cured, 'cause you gon get served
Get mine 'cause you gon' get yours
'Bout to make your ass love it
Raise it up, show yo g-strang hustlin' huslin'

Attention all y'all players and pimps
Right now in the place to be
I thought I told yall niggas before
Y'all niggas can't fuck with me
Now this ain't for no small booties
No circus that won't pass
But if you feel you got the biggest one

Then momma come shake ya' ass

Shake ya' ass

But watch ya' self
Shake ya' ass
Show me what you workin' with
Shake ya ass
But watch ya self
Shake ya ass
Show me what you workin with

Stop yo' cryin hefer I dont need all that
I got a job for you to braid it up, pimp is back
Break them handcuffs, fuck a nigga move somethin
If he asks you what you doin', say oooh nothin'

And we been doin' it past 2 somethin'
Man I'm beatin' that pussy up now smooth fuckin
You can betcha bottom dollar, that pussy fire
You gon holla one good time

(So don't) Act like you don't be baggin' that stuff up
Girl in the club thats what you got ass for
Wobble-wobble I'm infatuated

Bitch ride a dick like she makin a baby
And I see that we gon have to go to a quiet corner for just of two
Don't worry about who lookin, just keep doin what you do
'Cause a nigga like me don't get to workin 'fore I know the girl

Bitch what's happnin' let em see
Show the world

Attention all y'all players and pimps
Right now in the place to be
I thought I told yall niggas before
Yall niggas can't fuck with me
Now this ain't for no small booties

No circus that won't pass
But if you feel you got the biggest one
Then momma come shake ya ass

Shake ya' ass
But watch ya' self
Shake ya ass
Show me what you workin with

Shake ya' ass
But watch ya self
Shake ya ass
Show me what you workin with

Shake ya' ass
But watch ya self
Shake ya ass
Show me what you workin with

Shake ya' ass
But watch ya self
Shake ya ass
Show me what you workin with"
Combat,Deftones,anger,"This time you get the finger pointed right at you
Which side are you on? Which side are you on?
I asked you what side you wanted on
Which side are you on? Which side are you on?
A waste of time
Don't believe
Can't decide to
Hit the ground
Make your mind
It's holding me
Down
And always did
Down
And all we get
Down
This time you think it pointed right at you
Whose side are you on? Whose side are you on?
I asked you what side did you point it at?
Whose side are you on? Whose side are you on?
On?
Huh?
Why?
A waste of time
We don't believe
Can't decide till you've
Hit the ground
Thank you much
If you don't believe
Can't decide
Till you
Hit the ground
Make your mind
It's holding me
Down
I wanna get it
Down
And I wanna get it
Down
And I wanna get out
You don't think that I don't know
'Cause I do
Nice try
'Cause that's what you really got
Lie.
Lie.
Lie.
Lie.
That's something else
You say
You say you're something else
Decide
Whose side
You're on
Whose side are you on? Whose side are you on?
C'mon
Whose side are you on? Whose side are you on?
Whose side are you on? Whose side are you on?
Decide one"
Glue Man,Fugazi,anger,"I spent it all on the bag
On the drag
The sun comes up, the tide rolls out
The trucks roll by the park
Still a park where children play and pick up stones
Anything to make them feel less alone
He's alone
His mind is his own town
Where all his thoughts run aground
They fall all over and down
I spent it all on the bag
On the drag
The sun comes down, the tide rolls back
We crawl our way back to the house
We call home
He holds his home in the palm of his hand
And he says, and he says
""You are my everyone, you are my anyone
You are my anytime, you are my every time
You are my everywhere, anywhere..."""
Boom Boom,The Animals,anger,"Boom, boom, boom, boom
Gonna shoot you right down
Take you in my arms
I'm in love with you
Love that is true
Boom, boom, boom, boom
I like the way you walk
I like the way you talk
When you walk that walk
And you talk that talk
You knock me out
Right off of my feet
Come on and shake (shake it baby)
Shake it up baby (shake it baby)
Come on now baby (shake it baby)
I don't mean maybe (shake it baby)
You're drivin' me crazy (shake it baby)
Come on, come on, yeah (shake it baby)
Come on and shake (shake it baby)

Shake it up baby (shake it baby)
Ahh, shake (shake it baby)
I don't mean maybe (shake it baby)
Come on, come on (shake it baby)
Alright, alright (ahh...)
Come on now baby
The way you walk
The way you talk
When you walk that walk
When you're talkin' that talk
You knockin' me out
Right off of my feet
I need you right now
I mean right now
I don't mean tomorrow
I mean right now
Come on, come on
Come on, shake it up baby
Come on and shake (shake it baby)
Shake it up baby (shake it baby)
Come on now baby (shake it baby)
Come on now baby (shake it baby)
Come on and shake (shake it baby)
Alright, alright (ahh...)
Yeah, come on, come on and shake (shake it baby)
Shake, shake, shake it up baby (shake it baby)
Whoa! Shake (shake it baby)
Shake, shake, shake it up baby (shake it baby)
Come on now baby (shake it baby)"
Boys Wanna Be Her,Peaches,anger,"You've got them all by the balls
Causin' waterfalls, stone walls, bar brawls
Common stalls that cause 'em all
To you, they crawl, body sprawl
Smokin' Pall Malls, close call, stand tall
Doll, you make them feel so small (and they love it)

The boys wanna be her
The girls wanna be her
The boys wanna be her
The girls wanna be her
The boys wanna be her
The girls wanna be her
The boys wanna be her
I wanna be her
Yes I do

The way you rock, don't stop
Girl, you got the chops
Flip-flop, she bops, self-taught
You look so hot
Are you conceived, kids receive
Crawling up her sleeve
Parents bleed, can't conceive
That indeed we'll never leave (and we love it)

The boys wanna be her
The girls wanna be her
The boys wanna be her
The girls wanna be her
The boys wanna be her
The girls wanna be her
The boys wanna be her
I wanna be her
So do you

Listen up, listen up, listen up
Voices scatter
Listen up, listen up, listen up
Voices scatter
Listen up, listen up, listen up
Voices scatter
Listen up, listen up, listen up
Voices scatter
Listen up, listen up, listen up
Voices scatter
Listen up, listen up, listen up
Voices scatter
Listen up, listen up, listen up
Voices scatter
Listen up, listen up, listen up
Voices scatter

The boys wanna be her
The girls wanna be her (scatter)
The boys wanna be her
The girls wanna be her (scatter)
The boys wanna be her
The girls wanna be her (scatter)
The boys wanna be her
The girls wanna be her (scatter)
The boys wanna be her
The girls wanna be her (scatter)
The boys wanna be her
The girls wanna be her (scatter)
The boys wanna be her
The girls wanna be her (scatter)
The boys wanna be her (the boys) (scatter)

The boys
The girls (scatter)
The boys
The girls (scatter)
The boys
The girls (scatter)
The boys"
No More,Black Flag,anger,"No, I won't believe that this is all
I'm not happy, I'm not free
Paycheck to paycheck, living for what?
Every night I get drunk to get sunk

I need action
Won't take no more
No more, no more, no more
It won't work, it won't work no more

I knew what I had when I grew up
I know well that it really sucked
Now I'm a slave to the same lies
If I don't get out I'm gonna die

I need action
Won't take no more
No more, no more, no more
It won't work, won't work no more

Control, control for who, for what?
I'm no robot, they can get fucked
Reaction's masochism this can't last
I need to live, I need it now

I need action
Won't take no more
No more, no more, no more
No more, no more, no"
Death Trend Setta,Crossfade,anger,"Yeah, it's what I've become that I fear the most
I never thought it could get so wrong
I believe there's a part of me that I cannot beat
A part of me that I can't defeat
The side of me that just doesn't belong
Judging by the weight of my fucked up world
I think maybe I should take a step back from this
I need to quit pushing, just let it roll
The waves that you made (push me, push me)
The things that you say (push me, push me)
The waves that you made (push me, push me)
So I'll play God now and blow you, blow you away
Yeah, it's what you've become that I took today
You never thought I could be so strong
You can see there's a part of me that you cannot beat
And part of you will always remember me
When you look around and you are so alone
Judging by the weight of my fucked up world
I think maybe I should take a step back from this
But you had to keep pushin' so I let it go
The waves that you made (push me, push me)
The things that you say (push me, push me)
The waves that you made (push me, push me)
So I'll play God now
Now that you pushed me
I bet you wish we could have made things better
And now you see that I could be
Another would be, another death trend setter
Now you see that you pushed me
I bet you wish we could have made things better
And now you see that I could be
Another would be, another death trend setter
(Push me, push me)
(Blow you, blow you away)
(Push me, push me)
(Blow you, blow you away)
The waves that you made (push me, push me)
The things that you say (push me, push me)
The waves that you made (push me, push me)
So I'll play God now and blow you, blow you away
Now that you pushed me
I bet you wish we could have made things better
And now you see that I could be
Another would be, another death trend setter
Now you see that you pushed me
I bet you wish we could have made things better
And now you see that
I'll play God now"
Padded Cell,Black Flag,anger,"Earth's a padded cell, defanged and declawed
I'm living in hell, it's a paradise fraud
Straightjacket minds in line to be old
Telling me how time slips through my teeth
Well I'm no fool, I'm going to town
Manic reactions are always a buzz
Suspect, stranger in disguise
It's forced itself upon me, something I can't hide
See it in, maniacs!
Their eyes, maniacs!
Maniacs, maniacs!
Looking at you, inside of you
Through your eyes, behind your mind
Looking at you, inside of you
I'm invisible, nowhere to hide
I'm obscene, the living dead
See the flies in your head
Looking at you, I'm inside you
It's Walden too but the flower's dead
See it in, maniacs!
Their eyes, maniacs!
Maniacs, maniacs!
Earth's a padded cell, defanged and declawed
I'm living in hell, it's a paradise fraud
Straightjacket minds in line to be old
Telling me how time slips through my teeth
I'm no fool, I'm going to town
Manic reactions are always a buzz
Suspect, the stranger in disguise
Forced itself upon me something I can't hide
See it in, maniacs!
Their eyes, maniacs!
Maniacs, maniacs!"
Angel Duster,Run the Jewels,anger,"A little toast for the no ones
With a nod to the masters
To the ones with the riches
From the ones who the rags fit
A little smoke for the gone boys
A little nod to the spirits
We're still here runnin' round screaming
They're still here pointing and laughin'
Don't walk away when I talk
I'm tellin' you
Turn around mister
I got a permanent bop
Who the hell do I think I am not
And I'm twice as hot
As about half of hell
I get lighthouse lit up
Get down d-duck
The boy got a barracuda bite
You can tell
Got hope for the living
Got prayers for the dead
In the sky got whiskey and rye for the voices in my head
Got kush for the pain
'Cause the world is dangerous
Driven great men insane
Anchor themselves with angel dust
Somewhere between love and lust
A nut get bust
And a baby get made
It seems that trouble trouble us and follow us
Like all our days
In every holy book it says we suffer that's what it is
So riddle me this from the womb to the tomb why do
We fight to live
(RTJ)
A little toast for the no ones
With a nod to the masters (RTJ)
To the ones with the riches
From the ones who the rags fit (RTJ)
A little smoke for the gone boys
A little nod to the spirits
We're still here runnin' round screaming
They're still here pointing and laughin' (RTJ)
Got hope for the living
Got prayers for the dead (RTJ)
In the sky got whiskey and rye for the voices in my head (RTJ)
Got kush for the pain
'Cause the world is dangerous
Driven great men insane
Anchor themselves with with angel dust
You say you wanna be my leader
I think you wanna be my God
You say you on the side of the righteous
I say I'm gonna hang with the wrong
There's truth where the filth is
There's lies in the law
You want a whore with a white dress
I want a wife in a thong
You love fear and division
I ain't fuck with your symbolism
I don't give a fuck about power
I'll pluck an eye out a pyramid
Cut a ear from a mouse hat
Go Van Gough on a house rat
Find another mind to devour
Motherfucker, I'm really not hearin' it
A pope is a fraud
A church is a lie
A queen is the same damn thing
You should pray to your fake god that she die
God really exists I tell you like this it reside inside
And anybody tell you different, just selling you religion
Tryin' to keep your ass in line
I kill my masters
I mentor none
That means when I die that's it
My style is gone, I'm a one of one
One half of the great RTJ
Defeated the odds went to war with the gods
Earned all our scars and came back straight
(RTJ)
A little toast for the no ones
With a nod to the masters (RTJ)
To the ones with the riches
From the ones who the rags fit (RTJ)
A little smoke for the gone boys
A little nod to the spirits
We're still here runnin' round screaming
They're still here pointing and laughin' (RTJ)
Got hope for the living
Got prayers for the dead (RTJ)
In the sky got whiskey and rye for the voices in my head (RTJ)
Got kush for the pain
'Cause the world is dangerous
Driven great men insane
Anchor themselves with angel dust
(R-R-R-R-R-R-R-R)
Angel Dust
Angel Dust
(R-R-R-R-R-R-R-R)"
